wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.28, 0.17, 0.11, 100%, 0, 125, 2856, 1, 1
0.28, 0.16, 0.12, 100%, 0, 125, 2860, 2, 1
0.28, 0.15, 0.12, 99%, 0, 124, 2856, 1, 1
0.28, 0.16, 0.12, 100%, 0, 125, 2776, 1, 1
0.28, 0.17, 0.11, 99%, 0, 126, 2788, 0, 1
0.28, 0.15, 0.12, 100%, 0, 124, 2816, 0, 1
0.28, 0.17, 0.11, 99%, 0, 127, 2856, 0, 1
0.28, 0.17, 0.10, 99%, 0, 124, 2868, 2, 1
0.28, 0.18, 0.09, 100%, 0, 126, 2788, 0, 1
0.28, 0.15, 0.12, 99%, 0, 126, 2876, 1, 1
