wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.79, 1.50, 0.29, 99%, 0, 134, 2996, 10, 1
1.91, 1.65, 0.26, 99%, 0, 134, 2928, 6, 1
1.95, 1.72, 0.22, 99%, 0, 133, 2804, 4, 1
1.94, 1.68, 0.25, 99%, 0, 132, 2800, 7, 1
1.94, 1.68, 0.25, 99%, 0, 136, 3000, 4, 1
1.94, 1.77, 0.17, 100%, 0, 131, 2816, 4, 1
1.93, 1.74, 0.19, 100%, 0, 132, 2864, 3, 1
1.95, 1.70, 0.25, 99%, 0, 133, 2864, 13, 1
1.93, 1.68, 0.25, 100%, 0, 135, 2868, 3, 1
1.94, 1.73, 0.21, 100%, 0, 132, 2872, 5, 1
