wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.84, 1.55, 0.28, 99%, 0, 63, 1532, 4, 1
1.85, 1.62, 0.22, 99%, 0, 65, 1592, 19, 1
1.84, 1.64, 0.20, 100%, 0, 61, 1520, 5, 1
1.85, 1.62, 0.23, 99%, 0, 62, 1620, 16, 1
1.83, 1.57, 0.25, 99%, 0, 63, 1588, 14, 1
1.83, 1.57, 0.26, 99%, 0, 61, 1488, 3, 1
1.83, 1.62, 0.21, 100%, 0, 63, 1588, 4, 1
1.85, 1.56, 0.28, 99%, 0, 62, 1620, 3, 1
1.85, 1.64, 0.21, 99%, 0, 63, 1568, 3, 1
1.84, 1.59, 0.25, 99%, 0, 60, 1468, 5, 1
