wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.91, 1.85, 0.05, 99%, 0, 23390, 1491372, 7, 1
1.92, 1.86, 0.06, 100%, 0, 23393, 1491344, 3, 1
1.92, 1.87, 0.04, 100%, 0, 23390, 1491280, 5, 1
1.92, 1.84, 0.07, 99%, 0, 23391, 1491312, 4, 1
1.92, 1.86, 0.05, 99%, 0, 23389, 1491340, 5, 1
1.92, 1.85, 0.06, 99%, 0, 23392, 1491448, 5, 1
1.92, 1.89, 0.03, 100%, 0, 23390, 1491292, 2, 1
1.92, 1.87, 0.04, 99%, 0, 23393, 1491312, 10, 1
1.92, 1.82, 0.09, 99%, 0, 23390, 1491372, 4, 1
1.92, 1.87, 0.05, 100%, 0, 23393, 1491384, 4, 1
