wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.18, 0.13, 0.04, 99%, 0, 23392, 1491280, 0, 1
0.18, 0.12, 0.05, 99%, 0, 23393, 1491280, 0, 1
0.18, 0.12, 0.05, 100%, 0, 23393, 1491308, 0, 1
0.18, 0.12, 0.05, 99%, 0, 23393, 1491396, 1, 1
0.18, 0.13, 0.04, 100%, 0, 23393, 1491340, 1, 1
0.18, 0.12, 0.05, 100%, 0, 23394, 1491292, 1, 1
0.18, 0.12, 0.05, 99%, 0, 23390, 1491284, 0, 1
0.18, 0.13, 0.04, 99%, 0, 23393, 1491292, 0, 1
0.19, 0.14, 0.05, 100%, 0, 23393, 1491368, 0, 1
0.18, 0.14, 0.04, 100%, 0, 23394, 1491352, 1, 1
