wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
3.59, 3.32, 0.27, 100%, 0, 957, 8988, 9, 1
3.62, 3.39, 0.22, 99%, 0, 951, 8788, 9, 1
3.63, 3.44, 0.18, 100%, 0, 951, 8872, 9, 1
3.67, 3.42, 0.25, 99%, 0, 955, 8924, 6, 1
3.59, 3.35, 0.23, 99%, 0, 954, 8756, 8, 1
3.84, 3.62, 0.22, 100%, 0, 951, 8772, 6, 1
3.63, 3.33, 0.29, 99%, 0, 952, 8908, 8, 1
3.57, 3.37, 0.20, 99%, 0, 952, 8884, 8, 1
3.69, 3.46, 0.22, 99%, 0, 957, 8988, 11, 1
3.70, 3.39, 0.30, 99%, 0, 951, 8880, 10, 1
