wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
2.73, 2.68, 0.05, 99%, 0, 24292, 1499548, 6, 1
2.75, 2.69, 0.06, 100%, 0, 24290, 1499480, 5, 1
2.78, 2.73, 0.04, 100%, 0, 24287, 1499464, 6, 1
2.76, 2.72, 0.04, 99%, 0, 24285, 1499436, 6, 1
2.76, 2.71, 0.05, 99%, 0, 24290, 1499444, 4, 1
2.70, 2.66, 0.03, 100%, 0, 24287, 1499436, 11, 1
2.85, 2.79, 0.05, 99%, 0, 24289, 1499476, 8, 1
2.72, 2.66, 0.06, 100%, 0, 24286, 1499464, 5, 1
2.71, 2.63, 0.07, 99%, 0, 24285, 1499472, 8, 1
2.71, 2.68, 0.03, 100%, 0, 24289, 1499476, 7, 1
