wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.93, 1.89, 0.04, 99%, 0, 24294, 1499496, 6, 1
1.94, 1.89, 0.04, 99%, 0, 24295, 1499508, 2, 1
1.93, 1.88, 0.04, 99%, 0, 24291, 1499364, 2, 1
1.93, 1.88, 0.05, 100%, 0, 24290, 1499400, 8, 1
1.93, 1.89, 0.03, 99%, 0, 24293, 1499364, 3, 1
1.94, 1.90, 0.03, 99%, 0, 24293, 1499496, 4, 1
1.95, 1.89, 0.05, 99%, 0, 24292, 1499456, 1, 1
1.94, 1.88, 0.05, 100%, 0, 24293, 1499496, 5, 1
1.94, 1.90, 0.03, 99%, 0, 24295, 1499500, 3, 1
1.92, 1.88, 0.04, 99%, 0, 24294, 1499508, 5, 1
