wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.16, 0.64, 0.52, 99%, 0, 374491, 1502144, 11, 3
1.15, 0.63, 0.51, 99%, 0, 374489, 1502000, 6, 3
1.15, 0.62, 0.52, 99%, 0, 374495, 1502200, 3, 3
1.15, 0.63, 0.51, 99%, 0, 374488, 1502060, 7, 3
1.15, 0.64, 0.51, 100%, 0, 374494, 1502200, 5, 3
1.15, 0.63, 0.51, 99%, 0, 374502, 1502188, 7, 3
1.15, 0.64, 0.50, 100%, 0, 374505, 1502320, 3, 3
1.15, 0.63, 0.52, 99%, 0, 374496, 1502272, 4, 3
1.15, 0.63, 0.51, 99%, 0, 374502, 1502196, 4, 3
1.15, 0.64, 0.51, 99%, 0, 374503, 1502148, 4, 3
