wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.06, 0.04, 0.02, 98%, 0, 115, 2752, 0, 1
0.06, 0.04, 0.01, 98%, 0, 115, 2652, 0, 1
0.06, 0.04, 0.01, 98%, 0, 116, 2836, 0, 1
0.06, 0.05, 0.01, 98%, 0, 114, 2652, 0, 1
0.06, 0.04, 0.01, 98%, 0, 116, 2836, 1, 1
0.06, 0.05, 0.00, 98%, 0, 116, 2748, 0, 1
0.06, 0.04, 0.01, 98%, 0, 117, 2780, 1, 1
0.06, 0.03, 0.02, 100%, 0, 117, 2776, 0, 1
0.06, 0.05, 0.00, 98%, 0, 116, 2740, 0, 1
0.06, 0.05, 0.00, 100%, 0, 115, 2648, 0, 1
