wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.03, 0.02, 0.01, 100%, 0, 121, 2792, 0, 1
0.03, 0.02, 0.01, 100%, 0, 121, 2796, 0, 1
0.03, 0.02, 0.01, 94%, 0, 122, 2732, 0, 1
0.03, 0.03, 0.00, 97%, 0, 120, 2720, 0, 1
0.03, 0.01, 0.01, 94%, 0, 118, 2852, 0, 1
0.03, 0.02, 0.01, 97%, 0, 118, 2852, 0, 1
0.03, 0.01, 0.01, 97%, 0, 120, 2844, 0, 1
0.03, 0.02, 0.00, 97%, 0, 119, 2756, 0, 1
0.03, 0.02, 0.01, 100%, 0, 120, 2836, 0, 1
0.03, 0.02, 0.01, 100%, 0, 123, 2792, 0, 1
