wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.45, 0.44, 0.01, 99%, 0, 195, 4116, 0, 1
0.46, 0.45, 0.01, 99%, 0, 199, 4276, 2, 1
0.45, 0.42, 0.02, 100%, 0, 198, 4168, 2, 1
0.45, 0.43, 0.01, 99%, 0, 196, 4212, 1, 1
0.45, 0.43, 0.01, 100%, 0, 198, 4276, 0, 1
0.45, 0.43, 0.01, 100%, 0, 196, 4108, 3, 1
0.45, 0.42, 0.03, 99%, 0, 199, 4224, 2, 1
0.45, 0.43, 0.02, 99%, 0, 197, 4164, 0, 1
0.45, 0.43, 0.02, 100%, 0, 199, 4264, 2, 1
0.45, 0.44, 0.01, 100%, 0, 197, 4180, 0, 1
