wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.16, 0.14, 0.02, 100%, 0, 88, 2000, 1, 1
0.16, 0.14, 0.02, 100%, 0, 85, 1992, 1, 1
0.17, 0.15, 0.01, 100%, 0, 87, 1996, 0, 1
0.16, 0.14, 0.02, 99%, 0, 87, 1988, 1, 1
0.17, 0.15, 0.01, 99%, 0, 86, 2000, 0, 1
0.16, 0.14, 0.02, 100%, 0, 89, 1992, 1, 1
0.16, 0.13, 0.02, 99%, 0, 86, 1984, 1, 1
0.16, 0.14, 0.01, 99%, 0, 86, 1988, 1, 1
0.16, 0.15, 0.01, 99%, 0, 86, 2024, 0, 1
0.16, 0.14, 0.01, 99%, 0, 89, 2004, 0, 1
