wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.24, 0.21, 0.02, 99%, 0, 90, 2172, 0, 1
0.24, 0.23, 0.01, 100%, 0, 91, 2164, 0, 1
0.24, 0.22, 0.01, 100%, 0, 90, 2172, 3, 1
0.24, 0.22, 0.01, 99%, 0, 87, 2104, 0, 1
0.24, 0.23, 0.01, 100%, 0, 89, 2104, 2, 1
0.24, 0.22, 0.02, 100%, 0, 87, 2116, 1, 1
0.24, 0.20, 0.03, 99%, 0, 90, 2172, 1, 1
0.24, 0.20, 0.04, 100%, 0, 90, 2240, 0, 1
0.24, 0.22, 0.02, 100%, 0, 88, 2112, 0, 1
0.24, 0.21, 0.02, 99%, 0, 90, 2140, 4, 1
