wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.07, 0.05, 0.01, 100%, 0, 62, 1584, 0, 1
0.07, 0.06, 0.01, 98%, 0, 62, 1584, 0, 1
0.07, 0.04, 0.03, 100%, 0, 63, 1532, 0, 1
0.07, 0.05, 0.02, 98%, 0, 62, 1476, 0, 1
0.07, 0.07, 0.00, 100%, 0, 62, 1540, 1, 1
0.07, 0.06, 0.01, 98%, 0, 63, 1588, 0, 1
0.07, 0.06, 0.01, 100%, 0, 64, 1532, 0, 1
0.07, 0.04, 0.03, 98%, 0, 61, 1548, 0, 1
0.07, 0.05, 0.01, 98%, 0, 59, 1424, 0, 1
0.07, 0.06, 0.01, 98%, 0, 62, 1552, 0, 1
