wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.00, 0.01, 0.00, 312%, 0, 2402, 149280, 0, 2
0.00, 0.02, 0.00, 325%, 0, 2404, 149260, 0, 2
0.00, 0.02, 0.00, 322%, 0, 2401, 149276, 0, 2
0.00, 0.02, 0.00, 311%, 0, 2403, 149260, 0, 2
0.00, 0.02, 0.00, 288%, 0, 2401, 149228, 0, 2
0.00, 0.01, 0.00, 311%, 0, 2402, 149200, 0, 2
0.00, 0.02, 0.00, 325%, 0, 2401, 149276, 0, 2
0.00, 0.02, 0.00, 325%, 0, 2402, 149260, 0, 2
0.00, 0.01, 0.01, 337%, 0, 2403, 149224, 0, 2
0.00, 0.00, 0.01, 312%, 0, 2403, 149176, 0, 2
