wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.63, 0.59, 0.04, 99%, 3, 1822, 22580, 1, 5
0.63, 0.60, 0.02, 99%, 0, 1826, 22532, 1, 1
0.63, 0.57, 0.06, 100%, 0, 1823, 22292, 2, 1
0.64, 0.61, 0.02, 99%, 0, 1822, 22328, 4, 1
0.65, 0.62, 0.02, 99%, 0, 1821, 22216, 1, 1
0.64, 0.62, 0.02, 100%, 0, 1820, 22328, 2, 1
0.63, 0.60, 0.02, 99%, 0, 1822, 22244, 2, 1
0.63, 0.62, 0.00, 99%, 0, 1820, 22344, 0, 1
0.66, 0.65, 0.00, 100%, 0, 1820, 22396, 2, 1
0.63, 0.61, 0.01, 100%, 0, 1820, 22492, 2, 1
