wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.15, 0.06, 0.07, 94%, 0, 40997, 178960, 0, 2
0.13, 0.08, 0.05, 99%, 0, 40998, 179196, 0, 1
0.13, 0.06, 0.06, 99%, 0, 40998, 178724, 0, 1
0.14, 0.08, 0.05, 99%, 0, 40997, 178700, 0, 1
0.13, 0.06, 0.07, 100%, 0, 40997, 178728, 1, 1
0.13, 0.07, 0.06, 99%, 0, 40997, 179028, 1, 1
0.13, 0.07, 0.05, 100%, 0, 40997, 178920, 0, 1
0.13, 0.06, 0.06, 100%, 0, 40995, 178940, 0, 1
0.13, 0.08, 0.05, 99%, 0, 40996, 178884, 0, 1
0.13, 0.08, 0.05, 100%, 0, 40995, 178920, 0, 1
