wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.50, 0.46, 0.03, 97%, 2, 1731, 11196, 1, 121
0.50, 0.49, 0.00, 99%, 0, 1734, 10940, 3, 3
0.49, 0.47, 0.01, 100%, 0, 1740, 11136, 4, 3
0.49, 0.47, 0.02, 100%, 0, 1733, 11180, 6, 3
0.49, 0.47, 0.01, 99%, 0, 1723, 11072, 2, 3
0.49, 0.45, 0.04, 99%, 0, 1733, 11060, 4, 3
0.49, 0.45, 0.03, 99%, 0, 1733, 11152, 5, 3
0.48, 0.46, 0.02, 99%, 0, 1733, 11152, 4, 3
0.49, 0.48, 0.00, 100%, 0, 1732, 11088, 4, 3
0.48, 0.47, 0.01, 99%, 0, 1721, 10932, 2, 3
