wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.36, 0.24, 0.12, 99%, 0, 122, 2912, 4, 1
0.37, 0.22, 0.14, 100%, 0, 122, 2756, 13, 1
0.36, 0.20, 0.16, 100%, 0, 120, 2792, 14, 1
0.37, 0.22, 0.14, 100%, 0, 120, 2680, 2, 1
0.36, 0.24, 0.12, 100%, 0, 122, 2912, 16, 1
0.36, 0.22, 0.14, 99%, 0, 121, 2912, 2, 1
0.37, 0.22, 0.15, 99%, 0, 119, 2684, 10, 1
0.36, 0.19, 0.17, 99%, 0, 120, 2776, 11, 1
0.37, 0.19, 0.17, 99%, 0, 119, 2764, 0, 1
0.37, 0.21, 0.15, 99%, 0, 121, 2768, 15, 1
