wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.31, 0.16, 0.14, 99%, 0, 125, 2808, 65, 1
0.30, 0.18, 0.12, 99%, 0, 124, 2732, 19, 1
0.30, 0.16, 0.14, 99%, 0, 126, 2788, 15, 1
0.31, 0.17, 0.13, 99%, 0, 129, 2932, 31, 1
0.30, 0.15, 0.14, 99%, 0, 124, 2788, 11, 1
0.31, 0.15, 0.15, 100%, 0, 127, 2792, 1, 1
0.30, 0.15, 0.15, 100%, 0, 127, 2864, 21, 1
0.30, 0.12, 0.18, 99%, 0, 127, 2924, 15, 1
0.30, 0.17, 0.13, 99%, 0, 125, 2796, 1, 1
0.30, 0.16, 0.13, 99%, 0, 124, 2708, 13, 1
