wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
4.65, 4.47, 0.18, 99%, 0, 198, 4124, 12, 1
4.87, 4.61, 0.25, 99%, 0, 199, 4148, 53, 1
4.65, 4.40, 0.24, 99%, 0, 202, 4372, 48, 1
4.78, 4.57, 0.20, 99%, 0, 200, 4236, 4, 1
4.64, 4.44, 0.20, 99%, 0, 199, 4244, 14, 1
4.65, 4.45, 0.20, 99%, 0, 200, 4220, 42, 1
4.65, 4.47, 0.18, 99%, 0, 200, 4228, 6, 1
4.68, 4.48, 0.19, 99%, 0, 196, 4092, 39, 1
4.65, 4.41, 0.24, 100%, 0, 198, 4228, 6, 1
4.66, 4.40, 0.26, 100%, 0, 198, 4172, 9, 1
