wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.65, 1.41, 0.24, 100%, 0, 88, 2024, 4, 1
1.67, 1.44, 0.22, 99%, 0, 87, 1928, 34, 0
1.66, 1.41, 0.24, 100%, 0, 87, 2020, 3, 1
1.66, 1.36, 0.30, 100%, 0, 89, 2064, 11, 1
1.68, 1.42, 0.26, 100%, 0, 89, 2132, 3, 1
1.65, 1.35, 0.30, 100%, 0, 90, 2136, 3, 1
1.68, 1.46, 0.21, 99%, 0, 86, 1924, 19, 1
1.67, 1.42, 0.24, 100%, 0, 87, 1980, 19, 1
1.66, 1.44, 0.22, 99%, 0, 87, 1984, 17, 1
1.63, 1.41, 0.22, 99%, 0, 88, 1980, 8, 1
