wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.86, 0.62, 0.24, 100%, 0, 61, 1412, 1, 1
0.80, 0.53, 0.26, 100%, 0, 63, 1532, 1, 1
0.81, 0.60, 0.20, 99%, 0, 61, 1448, 30, 1
0.83, 0.59, 0.23, 99%, 0, 60, 1436, 3, 1
0.80, 0.60, 0.20, 100%, 0, 60, 1456, 1, 1
0.86, 0.61, 0.24, 100%, 0, 60, 1448, 2, 1
0.83, 0.56, 0.27, 99%, 0, 62, 1412, 19, 1
0.83, 0.58, 0.25, 99%, 0, 61, 1452, 2, 1
0.81, 0.59, 0.21, 100%, 0, 62, 1528, 1, 1
0.82, 0.59, 0.22, 99%, 0, 59, 1436, 2, 1
