wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.82, 1.78, 0.03, 100%, 0, 23391, 1491404, 6, 1
1.82, 1.76, 0.06, 99%, 0, 23392, 1491364, 42, 1
1.81, 1.77, 0.04, 100%, 0, 23391, 1491292, 18, 1
1.81, 1.76, 0.04, 99%, 0, 23393, 1491356, 18, 1
1.83, 1.78, 0.05, 100%, 0, 23393, 1491452, 19, 1
1.82, 1.77, 0.04, 99%, 0, 23391, 1491440, 3, 1
1.81, 1.76, 0.05, 99%, 0, 23390, 1491388, 4, 1
1.82, 1.78, 0.04, 100%, 0, 23391, 1491404, 18, 1
1.82, 1.80, 0.02, 99%, 0, 23391, 1491440, 2, 1
1.82, 1.77, 0.04, 100%, 0, 23389, 1491348, 18, 1
