wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.16, 0.11, 0.04, 99%, 0, 23391, 1491432, 14, 1
0.16, 0.09, 0.07, 99%, 0, 23392, 1491364, 24, 1
0.16, 0.11, 0.04, 99%, 0, 23392, 1491432, 0, 1
0.16, 0.12, 0.03, 100%, 0, 23391, 1491316, 0, 1
0.16, 0.12, 0.03, 100%, 0, 23390, 1491376, 8, 1
0.16, 0.12, 0.03, 100%, 0, 23392, 1491336, 0, 1
0.16, 0.11, 0.05, 99%, 0, 23391, 1491316, 2, 1
0.16, 0.12, 0.04, 99%, 0, 23392, 1491404, 0, 1
0.15, 0.11, 0.04, 100%, 0, 23393, 1491364, 1, 1
0.16, 0.13, 0.03, 99%, 0, 23392, 1491348, 0, 1
