wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.10, 0.13, 0.05, 180%, 0, 23407, 1494080, 13, 8
0.10, 0.14, 0.04, 180%, 0, 23409, 1494108, 0, 7
0.10, 0.15, 0.03, 182%, 0, 23408, 1494104, 10, 7
0.10, 0.13, 0.05, 179%, 0, 23407, 1494080, 15, 8
0.11, 0.13, 0.06, 178%, 0, 23406, 1494164, 5, 6
0.10, 0.14, 0.05, 179%, 0, 23406, 1494048, 9, 9
0.10, 0.11, 0.07, 179%, 0, 23409, 1494104, 5, 6
0.10, 0.15, 0.04, 179%, 0, 23406, 1494164, 14, 6
0.10, 0.15, 0.04, 180%, 0, 23408, 1494108, 9, 7
0.10, 0.15, 0.04, 179%, 0, 23406, 1494164, 9, 9
