wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.65, 1.45, 0.20, 99%, 0, 1483, 18564, 66, 1
1.64, 1.48, 0.16, 99%, 0, 1484, 18588, 34, 1
1.63, 1.41, 0.21, 99%, 0, 1486, 18644, 25, 1
1.65, 1.42, 0.23, 100%, 0, 1486, 18712, 15, 1
1.64, 1.43, 0.21, 99%, 0, 1483, 18360, 18, 1
1.65, 1.48, 0.16, 100%, 0, 1484, 18380, 16, 1
1.65, 1.42, 0.22, 100%, 0, 1483, 18548, 19, 1
1.65, 1.42, 0.22, 100%, 0, 1488, 18632, 3, 1
1.64, 1.44, 0.19, 99%, 0, 1484, 18576, 3, 1
1.64, 1.49, 0.15, 100%, 0, 1482, 18356, 3, 1
