wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.47, 0.81, 0.66, 100%, 0, 548559, 2206388, 78, 1
1.47, 0.82, 0.64, 100%, 0, 548556, 2206248, 43, 1
1.46, 0.69, 0.76, 100%, 0, 548555, 2206424, 3, 1
1.46, 0.82, 0.64, 100%, 0, 548555, 2206224, 19, 1
1.46, 0.74, 0.71, 99%, 0, 548555, 2206320, 20, 1
1.46, 0.80, 0.65, 99%, 0, 548558, 2206328, 19, 1
1.46, 0.76, 0.70, 99%, 0, 548558, 2206592, 4, 1
1.46, 0.72, 0.74, 99%, 0, 548557, 2206360, 2, 1
1.46, 0.79, 0.66, 100%, 0, 548557, 2206332, 3, 1
1.46, 0.77, 0.69, 99%, 0, 548557, 2206272, 17, 1
