wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
4.11, 3.87, 0.24, 99%, 0, 957, 8832, 144, 1
4.13, 3.91, 0.21, 99%, 0, 956, 8880, 37, 1
4.18, 3.94, 0.24, 100%, 0, 956, 8944, 21, 1
4.19, 3.94, 0.24, 99%, 0, 966, 8936, 3, 1
4.14, 3.92, 0.22, 100%, 0, 965, 8952, 9, 1
4.16, 3.89, 0.26, 99%, 0, 958, 8844, 7, 1
4.15, 3.92, 0.22, 99%, 0, 965, 8896, 42, 1
4.18, 3.87, 0.30, 99%, 0, 954, 8896, 43, 1
4.12, 3.82, 0.29, 99%, 0, 970, 8952, 4, 1
4.16, 3.88, 0.27, 99%, 0, 965, 8864, 6, 1
