wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
3.11, 3.06, 0.04, 100%, 0, 24287, 1499504, 5, 1
3.08, 3.02, 0.05, 99%, 0, 24289, 1499504, 35, 1
3.15, 3.10, 0.04, 99%, 0, 24301, 1499556, 6, 1
2.96, 2.89, 0.06, 99%, 0, 24292, 1499460, 7, 1
2.99, 2.95, 0.03, 99%, 0, 24304, 1499384, 41, 1
3.00, 2.97, 0.03, 100%, 0, 24291, 1499444, 43, 1
3.01, 2.95, 0.05, 99%, 0, 24301, 1499504, 4, 1
3.02, 2.96, 0.05, 99%, 0, 24294, 1499520, 42, 1
3.24, 3.18, 0.05, 100%, 0, 24293, 1499516, 33, 1
3.01, 2.96, 0.05, 100%, 0, 24301, 1499468, 37, 1
