wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.06, 0.58, 0.48, 99%, 0, 374506, 1502164, 6, 3
1.06, 0.56, 0.49, 99%, 0, 374503, 1502276, 30, 3
1.05, 0.56, 0.49, 99%, 0, 374492, 1502276, 20, 3
1.06, 0.57, 0.48, 100%, 0, 374506, 1502120, 14, 3
1.07, 0.57, 0.49, 99%, 0, 374509, 1502236, 6, 3
1.06, 0.58, 0.47, 99%, 0, 374494, 1502216, 18, 3
1.07, 0.57, 0.49, 99%, 0, 374486, 1502044, 6, 3
1.06, 0.57, 0.48, 99%, 0, 374507, 1502312, 21, 3
1.06, 0.57, 0.48, 99%, 0, 374495, 1502248, 24, 3
1.06, 0.58, 0.47, 99%, 0, 374506, 1502116, 6, 3
