wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.06, 0.05, 0.01, 98%, 0, 116, 2692, 1, 1
0.06, 0.05, 0.01, 97%, 0, 115, 2768, 13, 1
0.06, 0.03, 0.02, 100%, 0, 116, 2776, 1, 1
0.06, 0.04, 0.01, 98%, 0, 117, 2696, 0, 1
0.06, 0.05, 0.00, 100%, 0, 115, 2712, 0, 1
0.06, 0.05, 0.01, 100%, 0, 117, 2672, 1, 1
0.06, 0.05, 0.01, 98%, 0, 115, 2756, 1, 1
0.06, 0.05, 0.01, 97%, 0, 116, 2752, 12, 1
0.06, 0.05, 0.01, 98%, 0, 116, 2672, 3, 1
0.06, 0.06, 0.00, 100%, 0, 119, 2828, 1, 1
