wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.22, 0.20, 0.02, 100%, 0, 134, 2812, 18, 1
0.22, 0.20, 0.02, 100%, 0, 134, 2852, 0, 1
0.22, 0.21, 0.01, 100%, 0, 135, 2852, 17, 1
0.22, 0.21, 0.01, 99%, 0, 132, 2692, 14, 1
0.22, 0.19, 0.02, 100%, 0, 135, 2856, 12, 0
0.22, 0.19, 0.02, 99%, 0, 132, 2648, 15, 1
0.22, 0.20, 0.01, 100%, 0, 134, 2876, 2, 1
0.22, 0.19, 0.03, 99%, 0, 133, 2748, 1, 1
0.22, 0.19, 0.02, 99%, 0, 133, 2792, 9, 1
0.22, 0.20, 0.02, 100%, 0, 132, 2728, 0, 1
