wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.30, 0.27, 0.02, 99%, 0, 88, 2116, 3, 1
0.29, 0.26, 0.03, 99%, 0, 89, 2136, 0, 1
0.29, 0.26, 0.02, 99%, 0, 90, 2148, 28, 1
0.30, 0.29, 0.01, 99%, 0, 91, 2132, 2, 1
0.29, 0.27, 0.02, 99%, 0, 88, 2104, 0, 1
0.29, 0.27, 0.02, 100%, 0, 89, 2140, 0, 1
0.30, 0.28, 0.01, 99%, 0, 90, 2188, 94, 1
0.29, 0.27, 0.01, 100%, 0, 88, 2136, 0, 1
0.30, 0.27, 0.02, 100%, 0, 87, 2128, 22, 1
0.29, 0.27, 0.02, 100%, 0, 91, 2196, 0, 1
