wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.22, 0.21, 0.01, 99%, 0, 63, 1532, 5, 1
0.23, 0.21, 0.01, 99%, 0, 59, 1428, 116, 1
0.23, 0.21, 0.01, 99%, 0, 63, 1532, 8, 1
0.23, 0.20, 0.02, 99%, 0, 62, 1408, 1, 1
0.22, 0.20, 0.02, 99%, 0, 63, 1476, 4, 1
0.22, 0.20, 0.02, 100%, 0, 60, 1432, 1, 1
0.22, 0.20, 0.02, 99%, 0, 60, 1508, 85, 1
0.23, 0.21, 0.01, 99%, 0, 59, 1432, 2, 1
0.23, 0.21, 0.02, 99%, 0, 60, 1460, 1, 1
0.23, 0.20, 0.02, 99%, 0, 61, 1484, 21, 1
