wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.20, 0.19, 0.00, 99%, 0, 3293, 156264, 53, 1
0.19, 0.19, 0.00, 99%, 0, 3293, 156220, 31, 1
0.19, 0.18, 0.01, 99%, 0, 3297, 156212, 2, 1
0.20, 0.19, 0.00, 100%, 0, 3294, 156300, 1, 1
0.19, 0.18, 0.01, 99%, 0, 3295, 156288, 28, 1
0.20, 0.19, 0.00, 100%, 0, 3288, 156228, 1, 1
0.20, 0.19, 0.00, 99%, 0, 3294, 156300, 1, 1
0.19, 0.18, 0.01, 99%, 0, 3282, 156284, 4, 1
0.20, 0.19, 0.00, 99%, 0, 3281, 156284, 31, 1
0.19, 0.18, 0.01, 100%, 0, 3293, 156172, 0, 1
