wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.80, 0.55, 0.02, 71%, 2, 1741, 11160, 7, 93
0.57, 0.55, 0.01, 99%, 0, 1737, 11156, 1, 3
0.57, 0.53, 0.03, 99%, 0, 1732, 11204, 1, 3
0.58, 0.57, 0.01, 100%, 0, 1736, 11140, 26, 3
0.57, 0.55, 0.01, 99%, 0, 1730, 11156, 2, 3
0.57, 0.56, 0.01, 99%, 0, 1733, 11092, 22, 3
0.57, 0.54, 0.03, 100%, 0, 1728, 11196, 22, 3
0.57, 0.54, 0.02, 100%, 0, 1736, 11052, 17, 3
0.57, 0.54, 0.02, 99%, 0, 1730, 11156, 23, 3
0.57, 0.55, 0.01, 99%, 0, 1735, 11128, 18, 3
