benchmark,                         wall time sec, MiByte/s, mlines/s
1m-00-warmup,                              0.030,     4828,    33.33
1m-01-grep-short,                          0.060,     2414,    16.67
1m-02-grep-medium,                         0.038,     3811,    26.32
1m-03-grep-long,                           0.030,     4828,    33.33
1m-04-sed,                                 0.220,      658,     4.55
1m-05-awk,                                 0.536,      270,     1.87
1m-06-mawk,                                0.181,      800,     5.52
1m-07-mawk-index,                          0.294,      492,     3.40
1m-08-c1-line-strstr,                      0.081,     1788,    12.35
1m-09-c2-line-str_contains,                0.226,      640,     4.42
1m-10-c3-line-fancy,                       0.188,      770,     5.32
1m-11-c4-all-strstr,                       0.017,     8520,    58.82
1m-12-c5-2threads-strstr,                  0.010,    14485,   100.00
1m-13-c5-4threads-strstr,                  0.010,    14485,   100.00
1m-14-c5-8threads-strstr,                  0.010,    14485,   100.00
1m-15-php1-line-strstr,                    0.185,      782,     5.41
1m-16-php2-all-strpos,                     0.132,     1097,     7.58
1m-17-py1-line-find,                       0.436,      332,     2.29
1m-18-py2-mmap-line-find,                  0.310,      467,     3.23
1m-19-py3-mmap-all-find,                   0.195,      742,     5.13
1m-20-ruby1-line-include,                  0.594,      243,     1.68
1m-21-ruby2-all-index,                     0.150,      965,     6.67
10m-00-warmup,                            14.160,      102,     0.71
10m-01-grep-short,                         0.610,     2390,    16.39
10m-02-grep-medium,                        0.365,     3994,    27.40
10m-03-grep-long,                          0.303,     4812,    33.00
10m-04-sed,                                2.144,      680,     4.66
10m-05-awk,                                4.688,      311,     2.13
10m-06-mawk,                               1.661,      877,     6.02
10m-07-mawk-index,                         2.964,      491,     3.37
10m-08-c1-line-strstr,                     0.825,     1767,    12.12
10m-09-c2-line-str_contains,               2.190,      665,     4.57
10m-10-c3-line-fancy,                      1.818,      802,     5.50
10m-11-c4-all-strstr,                      0.159,     9170,    62.89
10m-12-c5-2threads-strstr,                 0.101,    14436,    99.01
10m-13-c5-4threads-strstr,                 0.085,    17153,   117.65
10m-14-c5-8threads-strstr,                 0.087,    16759,   114.94
10m-15-php1-line-strstr,                   1.644,      886,     6.08
10m-16-php2-all-strpos,                    1.462,      997,     6.84
10m-17-py1-line-find,                      4.152,      351,     2.41
10m-18-py2-mmap-line-find,                 3.057,      476,     3.27
10m-19-py3-mmap-all-find,                  1.790,      814,     5.59
10m-20-ruby1-line-include,                 5.240,      278,     1.91
10m-21-ruby2-all-index,                    1.061,     1374,     9.43
50m-00-warmup,                            70.660,      103,     0.71
50m-01-grep-short,                         3.113,     2355,    16.06
50m-08-c1-line-strstr,                     4.163,     1761,    12.01
50m-11-c4-all-strstr,                      0.787,     9320,    63.56
50m-12-c5-2threads-strstr,                 0.500,    14663,   100.00
50m-13-c5-4threads-strstr,                 0.433,    16919,   115.39
50m-14-c5-8threads-strstr,                 0.430,    17051,   116.28
50m-19-py3-mmap-all-find,                  9.243,      793,     5.41
100m-00-warmup,                          140.790,      104,     0.71
100m-01-grep-short,                      140.545,      104,     0.71
100m-08-c1-line-strstr,                  140.160,      104,     0.71
100m-11-c4-all-strstr,                    71.140,      206,     1.41
100m-12-c5-2threads-strstr,                1.040,    14111,    96.15
100m-13-c5-4threads-strstr,                0.870,    16868,   114.94
100m-14-c5-8threads-strstr,                0.870,    16868,   114.94
100m-19-py3-mmap-all-find,                18.520,      792,     5.40
