wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
0.46, 0.41, 0.04, 100%, 0, 23770, 1499728, 4, 1
0.47, 0.41, 0.05, 99%, 0, 23771, 1499652, 0, 1
0.44, 0.39, 0.05, 100%, 0, 23771, 1499628, 2, 1
0.44, 0.39, 0.04, 99%, 0, 23767, 1499608, 1, 1
0.44, 0.39, 0.04, 99%, 0, 23766, 1499372, 1, 1
0.44, 0.38, 0.05, 99%, 0, 23772, 1499584, 1, 1
0.44, 0.40, 0.04, 100%, 0, 23768, 1499492, 1, 1
0.44, 0.38, 0.06, 100%, 0, 23771, 1499620, 2, 1
0.44, 0.38, 0.05, 100%, 0, 23768, 1499636, 3, 1
0.43, 0.37, 0.05, 99%, 0, 23766, 1499608, 0, 1
