wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
1.34, 1.28, 0.06, 99%, 0, 23714, 1493012, 10, 28
1.32, 1.28, 0.04, 100%, 0, 23718, 1493068, 10, 24
1.33, 1.26, 0.07, 100%, 0, 23724, 1493080, 6, 22
1.34, 1.29, 0.04, 100%, 0, 23718, 1493040, 12, 24
1.32, 1.27, 0.04, 100%, 0, 23722, 1493100, 6, 21
1.31, 1.24, 0.06, 100%, 0, 23717, 1493164, 3, 24
1.31, 1.27, 0.04, 100%, 0, 23717, 1493108, 4, 26
1.35, 1.29, 0.05, 100%, 0, 23719, 1493068, 6, 25
1.34, 1.27, 0.07, 100%, 0, 23723, 1493080, 6, 27
1.32, 1.27, 0.04, 100%, 0, 23722, 1493024, 8, 22
