wall clock sec, cpu user sec, cpu system sec, percentage of cpu, major page faults, minor page faults, max resident kb, involuntarily context switches, voluntarily context switches
2.59, 2.37, 0.22, 100%, 0, 1712, 11072, 16, 1
2.49, 2.34, 0.15, 99%, 0, 1708, 11052, 7, 1
2.53, 2.36, 0.17, 99%, 0, 1706, 10984, 12, 1
2.52, 2.31, 0.20, 100%, 0, 1704, 10932, 5, 1
2.53, 2.33, 0.19, 99%, 0, 1710, 11116, 7, 1
2.54, 2.35, 0.18, 99%, 0, 1702, 11008, 16, 1
2.43, 2.24, 0.19, 99%, 0, 1710, 11164, 3, 1
2.49, 2.31, 0.18, 100%, 0, 1708, 10988, 9, 1
2.63, 2.42, 0.21, 99%, 0, 1710, 11068, 5, 1
2.70, 2.46, 0.24, 99%, 0, 1708, 10964, 6, 1
